year;month;day;temp_max;temp_min;was_raining_previous_day
2021;02;03;2;-1;1
2021;02;04;0;-3;0
2021;02;05;-1;-4;0
2021;02;06;-4;-9;0
2021;02;07;-8;-11;1
2021;02;08;-7;-10;1
2021;02;09;-5;-9;1
2021;02;10;-6;-12;1
2021;02;11;-11;-15;0
2021;02;12;-8;-14;1
2021;02;13;0;-11;0
2021;02;14;0;-7;1
2021;02;15;-2;-7;0
2021;02;16;-1;-6;1
2021;02;17;0;-4;1
2021;02;18;-5;-11;1
2021;02;19;1;-11;1
2021;02;20;2;-3;0
2021;02;21;3;-2;0
2021;02;22;4;-2;0
2021;02;23;4;0;0
2021;02;24;9;2;0
2021;02;25;12;6;0
2021;02;26;20;13;0
2021;02;27;5;1;0
2021;02;28;7;0;0
2021;03;01;8;0;0
2021;03;02;9;1;0
2021;03;03;9;1;0
2021;03;04;5;1;0
2021;03;05;3;-1;0
2021;03;06;3;-1;1
2021;03;07;3;0;1
2021;03;08;2;-2;0
2021;03;09;1;-2;0
2021;03;10;3;-2;0
2021;03;11;3;-1;1
2021;03;12;5;1;1
2021;03;13;7;2;1
2021;03;14;7;4;0
2021;03;15;6;1;1
2021;03;16;7;2;1
2021;03;17;4;1;1
2021;03;18;3;-1;1
2021;03;19;3;-1;1
2021;03;20;1;-2;1
2021;03;21;2;-1;0
2021;03;22;4;-1;0
2021;03;23;8;0;0
2021;03;24;8;1;0
2021;03;25;8;5;0
2021;03;26;12;6;0
2021;03;27;12;5;0
2021;03;28;13;4;0
2021;03;29;8;4;1
2021;03;30;13;7;0
2021;03;31;18;9;1
2021;04;01;18;10;0
2021;04;02;11;4;1
2021;04;03;9;4;0
2021;04;04;8;0;0
2021;04;05;12;3;1
2021;04;06;5;0;1
2021;04;07;5;0;0
2021;04;08;4;0;0
2021;04;09;10;0;0
2021;04;10;16;5;0
2021;04;11;17;8;0
2021;04;12;17;10;1
2021;04;13;3;2;1
2021;04;14;6;2;1
2021;04;15;2;-3;1
2021;04;16;4;-1;1
2021;04;17;11;4;0
2021;04;18;10;5;1
2021;04;19;13;7;1
2021;04;20;12;7;0
2021;04;21;13;6;0
2021;04;22;10;5;1
2021;04;23;8;2;1
2021;04;24;10;0;1
2021;04;25;8;1;1
2021;04;26;8;0;0
2021;04;27;10;0;0
2021;04;28;14;2;0
2021;04;29;12;5;1
2021;04;30;13;9;0
2021;05;01;13;5;1
2021;05;02;10;7;1
2021;05;03;12;6;0
2021;05;04;15;2;1
2021;05;05;15;7;1
2021;05;06;11;4;1
2021;05;07;10;5;1
2021;05;08;10;3;0
2021;05;09;18;3;0
2021;05;10;22;8;0
2021;05;11;22;11;0
2021;05;12;19;11;0
2021;05;13;18;8;1
2021;05;14;14;11;0
2021;05;15;18;10;1
2021;05;16;17;10;1
2021;05;17;15;8;1
2021;05;18;11;10;1
2021;05;19;15;8;0
2021;05;20;17;7;1
2021;05;21;19;8;1
2021;05;22;15;3;0
2021;05;23;17;7;0
2021;05;24;20;8;1
2021;05;25;15;9;1
2021;05;26;17;7;1
2021;05;27;16;11;1
2021;05;28;16;9;1
2021;05;29;15;6;1
2021;05;30;16;7;0
2021;05;31;16;10;1
2021;06;01;14;11;0
2021;06;02;19;10;0
2021;06;03;20;13;1
2021;06;04;21;13;0
2021;06;05;21;15;0
2021;06;06;22;14;0
2021;06;07;24;13;0
2021;06;08;24;14;0
2021;06;09;24;14;0
2021;06;10;24;13;1
2021;06;11;24;14;1
2021;06;12;24;15;1
2021;06;13;16;10;0
2021;06;14;20;10;1
2021;06;15;23;14;0
2021;06;16;22;12;0
2021;06;17;26;14;0
2021;06;18;29;16;0
2021;06;19;29;17;0
2021;06;20;28;18;0
2021;06;21;27;19;1
2021;06;22;30;19;1
2021;06;23;29;19;1
2021;06;24;28;18;1
2021;06;25;27;16;0
2021;06;26;24;15;0
2021;06;27;26;16;0
2021;06;28;27;17;0
2021;06;29;27;17;1
2021;06;30;29;19;0
2021;07;01;24;18;1
2021;07;02;16;15;1
2021;07;03;17;9;0
2021;07;04;25;14;1
2021;07;05;25;16;0
2021;07;06;28;19;0
2021;07;07;29;20;0
2021;07;08;29;20;1
2021;07;09;32;21;1
2021;07;10;26;19;1
